objectid,filename,title,identifier,object_location,collection_number_and_name_t,creator,date,description,findingaid,format,source,rightsstatement,location,latitude,longitude,subject,type,image_alt_text,object_location,display_template,thumbnail URL
2392705,Home_of_President_Lorenzo_Snow_Nauvoo_Illinois.jpg,"Home of President Lorenzo Snow, Nauvoo, Illinois",ark:/87278/s6va6g6c,https://collections.lib.utah.edu/ark:/87278/s6va6g6c,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the house of Lorenzo Snow, later President of the Church of Jesus Christ of Latter-day Saints, in Nauvoo, Illinois.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_03_002,http://rightsstatements.org/vocab/NoC-US/1.0/,Nauvoo (Ill.); Hancock County (Ill.); Illinois,40.5498127,-91.3834517,"Snow, Lorenzo, 1814-1901--Homes and haunts--Photographs; Nauvoo (Ill.)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs",Image/StillImage,"Black and white stereograph of the house of Lorenzo Snow, later President of the Church of Jesus Christ of Latter-day Saints, in Nauvoo, Illinois.",,,https://collections.lib.utah.edu/dl_thumbs/35/17/3517dac90785fa919d145ee74b70bb45ebc9a2a8.jpg
2392706,Looking_east_along_Mulholland_Street_from_north_side_of_Temple_Block_Nauvoo_Illinois.jpg,"Looking east along Mulholland Street, from north side of Temple Block, Nauvoo, Illinois",ark:/87278/s6cvspd0,https://collections.lib.utah.edu/ark:/87278/s6cvspd0,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of a view looking east along Mulholland Street in Nauvoo, Illinois.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_03_003,http://rightsstatements.org/vocab/NoC-US/1.0/,Nauvoo (Ill.); Hancock County (Ill.); Illinois,40.5498127,-91.3834517,Nauvoo (Ill.)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs,Image/StillImage,"Black and white stereograph of a view looking east along Mulholland Street in Nauvoo, Illinois.",,,https://collections.lib.utah.edu/dl_thumbs/12/66/126602694ab904e414c9f344e1204d227a223c17.jpg
2392707,Temple_of_Nauvoo_Illinois.jpg,"Temple of Nauvoo, Illinois",ark:/87278/s6j1ghtb,https://collections.lib.utah.edu/ark:/87278/s6j1ghtb,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the Latter-day Saints temple in Nauvoo, Illinois.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_03_004,http://rightsstatements.org/vocab/NoC-US/1.0/,Nauvoo (Ill.); Hancock County (Ill.); Illinois,40.5498127,-91.3834517,; Nauvoo (Ill.)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs,Image/StillImage,"Black and white stereograph of the Latter-day Saints temple in Nauvoo, Illinois.",,,https://collections.lib.utah.edu/dl_thumbs/6b/89/6b89539146d5a1921c0e1a4c4b6122e2f1bb6040.jpg
2392708,Home_of_President_Brigham_Young_Nauvoo_Illinois_facing_south_.jpg,"Home of President Brigham Young, Nauvoo, Illinois (facing south)",ark:/87278/s606v7am,https://collections.lib.utah.edu/ark:/87278/s606v7am,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the house of Brigham Young, second President of the Church of Jesus Christ of Latter-day Saints, in Nauvoo, Illinois.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_03_005,http://rightsstatements.org/vocab/NoC-US/1.0/,Nauvoo (Ill.); Hancock County (Ill.); Illinois,40.5498127,-91.3834517,"Young, Brigham, 1801-1877--Homes and haunts--Photographs; Nauvoo (Ill.)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs",Image/StillImage,"Black and white stereograph of the house of Brigham Young, second President of the Church of Jesus Christ of Latter-day Saints, in Nauvoo, Illinois.",,,https://collections.lib.utah.edu/dl_thumbs/31/c2/31c22001d04fcb7b1d8de37cbfb2ff55df06505a.jpg
2392709,Home_of_President_John_Taylor_Nauvoo_Illinois_facing_east_.jpg,"Home of President John Taylor, Nauvoo, Illinois (facing east)",ark:/87278/s61ct2fx,https://collections.lib.utah.edu/ark:/87278/s61ct2fx,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the house of John Taylor, later President of the Church of Jesus Christ of Latter-day Saints, in Nauvoo, Illinois.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_03_006,http://rightsstatements.org/vocab/NoC-US/1.0/,Nauvoo (Ill.); Hancock County (Ill.); Illinois,40.5498127,-91.3834517,"Taylor, John, 1808-1887--Homes and haunts--Photographs; Nauvoo (Ill.)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs",Image/StillImage,"Black and white stereograph of the house of John Taylor, later President of the Church of Jesus Christ of Latter-day Saints, in Nauvoo, Illinois.",,,https://collections.lib.utah.edu/dl_thumbs/45/5b/455b556d5ab7b8ddfb69f59a92da235d514c97a9.jpg
2392710,Nauvoo_mansion_home_of_Joseph_Smith_from_which_murdered_brothers_were_buried_Nauvoo_Ill_.jpg,"Nauvoo mansion, home of Joseph Smith, from which murdered brothers were buried, Nauvoo, Ill.",ark:/87278/s66xs7tj,https://collections.lib.utah.edu/ark:/87278/s66xs7tj,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the mansion of Joseph Smith, President of the Church of Jesus Christ of Latter-day Saints, in Nauvoo, Illinois.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_03_007,http://rightsstatements.org/vocab/NoC-US/1.0/,Nauvoo (Ill.); Hancock County (Ill.); Illinois,40.5498127,-91.3834517,"Smith, Joseph, Jr., 1805-1844--Homes and haunts--Photographs; Nauvoo (Ill.)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs",Image/StillImage,"Black and white stereograph of the mansion of Joseph Smith, President of the Church of Jesus Christ of Latter-day Saints, in Nauvoo, Illinois.",,,https://collections.lib.utah.edu/dl_thumbs/57/f3/57f35d1c0eef97183e275ef80a977951805dc7d7.jpg
2392711,Old_Smith_homestead_Emma_Smith_s_grave_and_lot_where_murdered_brothers_were_buried_Nauvoo_Ill_.jpg,"Old Smith homestead, Emma Smith's grave, and lot where murdered brothers were buried, Nauvoo, Ill.",ark:/87278/s6cqqd7h,https://collections.lib.utah.edu/ark:/87278/s6cqqd7h,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the Smith homestead in Nauvoo, Illinois, with the grave of Emma Smith in foreground.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_03_008,http://rightsstatements.org/vocab/NoC-US/1.0/,Nauvoo (Ill.); Hancock County (Ill.); Illinois,40.5498127,-91.3834517,"Smith, Joseph, Jr., 1805-1844--Homes and haunts--Photographs; Nauvoo (Ill.)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs",Image/StillImage,"Black and white stereograph of the Smith homestead in Nauvoo, Illinois, with the grave of Emma Smith in foreground.",,,https://collections.lib.utah.edu/dl_thumbs/0a/b5/0ab5e33cc8153e57f3d330bd9686c21d280f204d.jpg
2392712,Jailor_s_parlor_where_mob_slew_Joseph_and_Hyrum_Smith_bullet_hole_in_door_old_jail_Carthage_Ill_.jpg,"Jailor's parlor, where mob slew Joseph and Hyrum Smith--bullet hole in door--old jail, Carthage, Ill.",ark:/87278/s6xabxbx,https://collections.lib.utah.edu/ark:/87278/s6xabxbx,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the parlor of the jail in Carthage, Illinois, site of a mob's fatal attack of Joseph and Hyrum Smith in June 1844.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_04_001,http://rightsstatements.org/vocab/NoC-US/1.0/,Cathage (Ill.); Hancock County (Ill.); Illinois,40.416433,-91.1362537,Carthage (Ill.)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs,Image/StillImage,"Black and white stereograph of the parlor of the jail in Carthage, Illinois, site of a mob's fatal attack of Joseph and Hyrum Smith in June 1844.",,,https://collections.lib.utah.edu/dl_thumbs/30/a1/30a1d59e86703a772ae9a60eceba05e688b09299.jpg
2392713,East_side_of_jail_showing_window_where_Joseph_Smith_was_shot_and_from_which_he_fell_Carthage_Ill_.jpg,"East side of jail showing window where Joseph Smith was shot and from which he fell, Carthage, Ill.",ark:/87278/s6rajf2c,https://collections.lib.utah.edu/ark:/87278/s6rajf2c,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the east side of the jail in Carthage, Illinois, including the window where Joseph Smith was shot in June 1844.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_04_002,http://rightsstatements.org/vocab/NoC-US/1.0/,Cathage (Ill.); Hancock (Ill.),40.416433,-91.1362537,Carthage (Ill.)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs,Image/StillImage,"Black and white stereograph of the east side of the jail in Carthage, Illinois, including the window where Joseph Smith was shot in June 1844.",,,https://collections.lib.utah.edu/dl_thumbs/04/40/0440e12c002dc267f625353153fc3679780e1d91.jpg
2392714,Old_jail_where_the_Prophet_Joseph_Smith_and_his_brother_Hyrum_were_murdered_south_front_Carthage_Ill_.jpg,"Old jail where the Prophet Joseph Smith and his brother Hyrum were murdered (south front), Carthage, Ill.",ark:/87278/s6xt4fk8,https://collections.lib.utah.edu/ark:/87278/s6xt4fk8,P0716 Utah history stereographs photograph collection,Underwood & Underwood,1904,"Black and white stereograph of the jail in Carthage, Illinois, where a mob murdered Joseph and Hyrum Smith in June 1844.",https://archiveswest.orbiscascade.org/ark:80444/xv172074,image/jpeg,P0716n01_04_003,http://rightsstatements.org/vocab/NoC-US/1.0/,Cathage (Ill.); Hancock (Ill.),40.416433,-91.1362537,Carthage (Ill.)--Photographs; Church of Jesus Christ of Latter-day Saints--History--Photographs,Image/StillImage,"Black and white stereograph of the jail in Carthage, Illinois, where a mob murdered Joseph and Hyrum Smith in June 1844.",,,https://collections.lib.utah.edu/dl_thumbs/bd/f2/bdf20070cc7a3a92f4149801abe8368c107a63a0.jpg
